,Neighborhood,Town,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
19,Duren Sawit,East Jakarta,-6.2341378,106.91924723513691,3,Indonesian Meatball Place,Convenience Store,Coffee Shop,Mediterranean Restaurant,Wine Bar
20,Jatinegara,East Jakarta,-6.2149761,106.8703405,3,Jewelry Store,Asian Restaurant,Arts & Crafts Store,Donut Shop,Food Truck
21,Kramat Jati,East Jakarta,-6.2754768,106.87037568609199,4,Hospital,Indonesian Restaurant,Seafood Restaurant,Chinese Restaurant,Noodle House
22,Makasar,East Jakarta,-6.269341300000001,106.8888174965918,4,Indonesian Restaurant,Airport Terminal,Asian Restaurant,Wine Bar,Farmers Market
23,Matraman,East Jakarta,-6.203624,106.86457858984426,3,Convenience Store,Pizza Place,Electronics Store,Food Stand,Food Court
24,Pasar Rebo,East Jakarta,-6.324972750000001,106.85337593386294,4,Karaoke Bar,Burger Joint,Bakery,Indonesian Restaurant,Grocery Store
25,Pulo Gadung,East Jakarta,-6.1911085,106.89060525673162,4,Indonesian Restaurant,Convenience Store,Pizza Place,Café,Athletics & Sports
27,Cilandak,South Jakarta,-6.2868976,106.7944211,3,Gym,Indonesian Restaurant,Food Truck,Convenience Store,Pizza Place
28,Jagakarsa,South Jakarta,-6.3300082,106.828191,4,Indonesian Restaurant,Asian Restaurant,Food Court,Arcade,Gym
29,Kebayoran Baru,South Jakarta,-6.2441457,106.800434,3,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Food Truck,Hotel
30,Kebayoran Lama,South Jakarta,-6.243886,106.7798594,3,Coffee Shop,Bakery,Clothing Store,Shopping Mall,Satay Restaurant
31,Mampang Prapatan,South Jakarta,-6.2493736,106.8218597,4,Indonesian Restaurant,Noodle House,Park,Electronics Store,Food Stand
32,Pancoran,South Jakarta,-6.2532977,106.8449775,4,Indonesian Restaurant,Padangnese Restaurant,Asian Restaurant,Fast Food Restaurant,Restaurant
33,Pasar Minggu,South Jakarta,-6.2856421,106.8297347,3,Japanese Restaurant,Asian Restaurant,Bus Station,Music Store,Fast Food Restaurant
34,Pesanggrahan,South Jakarta,-6.2488302,106.759631,4,Convenience Store,Pier,Indonesian Restaurant,Gym,Restaurant
35,Setiabudi,South Jakarta,-6.218449,106.8300253,3,Coffee Shop,Hotel,Pizza Place,Vietnamese Restaurant,Café
36,Tebet,South Jakarta,-6.2260164,106.858396,4,Indonesian Restaurant,Café,Bakery,Asian Restaurant,Restaurant
38,Cengkareng,West Jakarta Barat,-6.1490933,106.734781,3,Music Venue,Pet Store,Restaurant,Movie Theater,Electronics Store
39,Grogol Petamburan,West Jakarta Barat,-6.1641878,106.78831657883393,3,Noodle House,Chinese Restaurant,Indonesian Restaurant,Hotel,Asian Restaurant
40,Taman Sari,West Jakarta Barat,-6.14614235,106.8184990440433,3,Chinese Restaurant,Asian Restaurant,Hotel,Karaoke Bar,Restaurant
41,Tambora,West Jakarta Barat,-6.1466142,106.80104559691304,3,Food Truck,Convenience Store,Tanning Salon,Department Store,Train Station
42,Kebon Jeruk,West Jakarta Barat,-6.19257205,106.76972548969255,3,Noodle House,Concert Hall,Asian Restaurant,Park,Indonesian Restaurant
43,Kalideres,West Jakarta Barat,-6.13700575,106.70159379305983,3,Convenience Store,Indonesian Restaurant,Soccer Field,Fried Chicken Joint,Asian Restaurant
44,Palmerah,West Jakarta Barat,-6.1910017,106.7943633086912,3,Pizza Place,Asian Restaurant,Noodle House,Coffee Shop,Medical Center
45,Kembangan,West Jakarta Barat,-6.194603,106.7437585,3,Pizza Place,Asian Restaurant,Park,Indonesian Meatball Place,Bubble Tea Shop
47,Kepulauan Seribu Utara,Kepulauan Seribu,-5.65444335,106.56808375782228,2,Resort,Wine Bar,Electronics Store,Food Stand,Food Court
48,Kepulauan Seribu Selatan,Kepulauan Seribu,-5.80388725,106.52530628717426,3,Boat or Ferry,Clothing Store,Fast Food Restaurant,French Restaurant,Food Truck
